strategy,model,description,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,default_threshold,default_accuracy,default_precision,default_recall,default_f1,default_roc_auc,default_pr_auc,default_fp,default_fn,f1_threshold,validation_f1,tuned_accuracy,tuned_precision,tuned_recall,tuned_f1,tuned_roc_auc,tuned_pr_auc,tuned_fp,tuned_fn,recall_threshold,validation_recall,recall_mode_precision,recall_mode_recall,recall_mode_f1,recall_mode_fp,recall_mode_fn
Random Over-Sampling,Gradient Boosting,Duplication aléatoire de la classe minoritaire.,0.7735267183796596,0.37878751283662043,0.8006965863341979,0.2978719145033853,0.5,0.7295,0.24737631184407796,0.8088235294117647,0.3788748564867968,0.8155077732652081,0.3263321572730728,502,39,0.5599999999999999,0.39622641509433965,0.74,0.25,0.7745098039215687,0.37799043062200954,0.8155077732652081,0.3263321572730728,474,46,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
Random Over-Sampling,MLP,Duplication aléatoire de la classe minoritaire.,0.22401332327802917,0.2215543727922404,0.6625003630636112,0.18571882149939015,0.5,0.828,0.21544715447154472,0.25980392156862747,0.23555555555555555,0.6708344250840649,0.18580382947554674,193,151,0.11499999999999999,0.24411134903640258,0.7805,0.19480519480519481,0.36764705882352944,0.2546689303904924,0.6708344250840649,0.18580382947554674,310,129,0.05,0.38650306748466257,0.18004338394793926,0.4068627450980392,0.24962406015037594,378,121
SMOTE,Logistic Regression,Génération synthétique d'exemples de la classe minoritaire.,0.6401502908855851,0.2900635030577649,0.7152101966609203,0.22129764930949047,0.5,0.6705,0.18181818181818182,0.6372549019607843,0.28291621327529926,0.7146654875758768,0.23853312503957577,585,74,0.63,0.3045267489711934,0.786,0.23076923076923078,0.47058823529411764,0.3096774193548387,0.7146654875758768,0.23853312503957577,320,108,0.05,1.0,0.10251256281407035,1.0,0.18596171376481313,1786,0
SMOTE,Random Forest,Génération synthétique d'exemples de la classe minoritaire.,0.02816382963441787,0.05116091492933663,0.7895016486283198,0.2564567446794352,0.5,0.8905,0.2413793103448276,0.03431372549019608,0.060085836909871244,0.7850915978863705,0.26301702835328566,22,197,0.235,0.3875,0.7325,0.2457757296466974,0.7843137254901961,0.3742690058479532,0.7850915978863705,0.26301702835328566,491,44,0.05,1.0,0.10262891809908999,0.9950980392156863,0.1860678276810266,1775,1
SMOTE,Gradient Boosting,Génération synthétique d'exemples de la classe minoritaire.,0.05875170581052933,0.09867902153829183,0.7966147149092482,0.2721587980239821,0.5,0.8975,0.4838709677419355,0.07352941176470588,0.1276595744680851,0.7880611598759771,0.2802713311965055,16,189,0.19999999999999996,0.40233236151603496,0.716,0.2377521613832853,0.8088235294117647,0.3674832962138085,0.7880611598759771,0.2802713311965055,529,39,0.05,1.0,0.1021021021021021,1.0,0.18528610354223432,1794,0
SMOTE,MLP,Génération synthétique d'exemples de la classe minoritaire.,0.20928499604970194,0.2064677419792513,0.6365200440996145,0.171965193861611,0.5,0.8435,0.21761658031088082,0.20588235294117646,0.21158690176322417,0.6577552513210183,0.1763595522244893,151,162,0.09999999999999999,0.22746781115879827,0.8115,0.20677966101694914,0.29901960784313725,0.24448897795591182,0.6577552513210183,0.1763595522244893,234,143,0.05,0.3496932515337423,0.21194029850746268,0.3480392156862745,0.2634508348794063,264,133
Random Under-Sampling,Logistic Regression,Réduction aléatoire de la classe majoritaire.,0.6585101989513754,0.2781164631907394,0.7014756561806849,0.21155835219386984,0.5,0.649,0.17662337662337663,0.6666666666666666,0.2792607802874743,0.7151731516660117,0.22669726605962834,634,68,0.585,0.2876712328767123,0.747,0.205078125,0.5147058823529411,0.29329608938547486,0.7151731516660117,0.22669726605962834,407,99,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
Random Under-Sampling,Random Forest,Réduction aléatoire de la classe majoritaire.,0.8188474107591754,0.3797133061829792,0.7979197679304625,0.2843169596435542,0.5,0.7175,0.24613220815752462,0.8578431372549019,0.3825136612021858,0.8045929953273069,0.3063898718695198,536,29,0.5499999999999999,0.39327731092436974,0.7565,0.2629815745393635,0.7696078431372549,0.3920099875156055,0.8045929953273069,0.3063898718695198,440,47,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
Random Under-Sampling,Gradient Boosting,Réduction aléatoire de la classe majoritaire.,0.8041235725059255,0.37938440888825814,0.799113269753072,0.28895454639560403,0.5,0.72,0.24787535410764872,0.8578431372549019,0.38461538461538464,0.8026087383728548,0.31493703594708705,531,29,0.61,0.39593908629441626,0.7545,0.25963149078726966,0.7598039215686274,0.38701622971285893,0.8026087383728548,0.31493703594708705,442,49,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
Random Under-Sampling,MLP,Réduction aléatoire de la classe majoritaire.,0.6719771241830065,0.2664711917856458,0.699111299537375,0.2065979357121975,0.5,0.632,0.16498740554156172,0.6421568627450981,0.2625250501002004,0.6907015590200445,0.21841465913358132,663,73,0.6849999999999999,0.2721649484536082,0.8805,0.34234234234234234,0.18627450980392157,0.24126984126984127,0.6907015590200445,0.21841465913358132,73,166,0.05,1.0,0.102,1.0,0.1851179673321234,1796,0
